prefix_length,protect_prefix_len,max_candidates,min_token_len,CER,WER,time_sec,ram_mb
5,1,5,3,0.034581012822173296,0.15152596823130465,14.566380739212036,994.6640625
5,1,5,4,0.03451625437119544,0.15152596823130465,16.29286289215088,1157.75
5,1,10,3,0.034581012822173296,0.15152596823130465,15.013372898101807,1156.6171875
5,1,10,4,0.03451625437119544,0.15152596823130465,15.656375646591187,1255.14453125
5,1,20,3,0.034581012822173296,0.15152596823130465,15.574434995651245,1257.0703125
5,1,20,4,0.03451625437119544,0.15152596823130465,15.147200345993042,1342.5703125
5,2,5,3,0.03448387514570651,0.15188291986435837,15.547272443771362,1334.3125
5,2,5,4,0.03441911669472866,0.15188291986435837,15.16170883178711,1382.40625
5,2,10,3,0.03448387514570651,0.15188291986435837,16.20264482498169,1369.08203125
5,2,10,4,0.03441911669472866,0.15188291986435837,15.445735931396484,1400.90234375
5,2,20,3,0.03448387514570651,0.15188291986435837,15.963682651519775,1407.515625
5,2,20,4,0.03441911669472866,0.15188291986435837,14.900270700454712,1410.47265625
6,1,5,3,0.03467815049864007,0.1513474924147778,23.85037064552307,1625.28125
6,1,5,4,0.03461339204766222,0.1513474924147778,24.073580980300903,1840.4765625
6,1,10,3,0.03467815049864007,0.1513474924147778,23.367422819137573,1838.8984375
6,1,10,4,0.03461339204766222,0.1513474924147778,22.33146595954895,1869.05078125
6,1,20,3,0.03467815049864007,0.1513474924147778,23.343185901641846,1873.76953125
6,1,20,4,0.03461339204766222,0.1513474924147778,22.54379391670227,1888.5546875
6,2,5,3,0.03445149592021759,0.15188291986435837,22.471335411071777,1892.88671875
6,2,5,4,0.03438673746923974,0.15188291986435837,23.218156099319458,1897.08984375
6,2,10,3,0.03445149592021759,0.15188291986435837,23.33414602279663,1897.08203125
6,2,10,4,0.03438673746923974,0.15188291986435837,22.568063259124756,1903.375
6,2,20,3,0.03445149592021759,0.15188291986435837,23.27568030357361,1904.67578125
6,2,20,4,0.03438673746923974,0.15188291986435837,22.50937795639038,1908.890625
7,1,5,3,0.034710529724129,0.15116901659825094,34.92491173744202,2318.734375
7,1,5,4,0.034645771273151146,0.15116901659825094,34.240055561065674,2577.06640625
7,1,10,3,0.034710529724129,0.15116901659825094,32.62046670913696,2579.62890625
7,1,10,4,0.034645771273151146,0.15116901659825094,32.805017709732056,2675.55859375
7,1,20,3,0.034710529724129,0.15116901659825094,32.865498542785645,2680.82421875
7,1,20,4,0.034645771273151146,0.15116901659825094,33.11882209777832,2713.8515625
7,2,5,3,0.03448387514570651,0.1517044440478315,33.212624073028564,2713.86328125
7,2,5,4,0.03441911669472866,0.1517044440478315,31.913527727127075,2730.8984375
7,2,10,3,0.03448387514570651,0.1517044440478315,32.89980626106262,2731.9765625
7,2,10,4,0.03441911669472866,0.1517044440478315,33.32612228393555,2744.00390625
7,2,20,3,0.03448387514570651,0.1517044440478315,32.65419125556946,2745.06640625
7,2,20,4,0.03441911669472866,0.1517044440478315,32.423224687576294,2752.10546875
